player,type,season,contract_yrs,first_year_percent_of_cap
Abdel Nader,CO,2020,NA,NA
Adam Mokoka,RFA,2020,NA,NA
Alec Burks,UFA,2020,NA,NA
Alex Len,UFA,2020,NA,NA
Alize Johnson,RFA,2020,NA,NA
Andre Drummond,PO,2020,NA,28751755
Andre Roberson,UFA,2020,NA,NA
Ante Žižić,UFA,2020,NA,NA
Anthony Davis,PO,2020,NA,28751755
Antonius Cleveland,RFA,2020,NA,NA
Aron Baynes,UFA,2020,NA,NA
Austin Rivers,PO,2020,NA,2369663
Avery Bradley,PO,2020,NA,5005350
B.J. Johnson,RFA,2020,NA,NA
Bismack Biyombo,UFA,2020,NA,NA
Bobby Portis,CO,2020,NA,NA
Bogdan Bogdanović,RFA,2020,NA,NA
Brad Wanamaker,RFA,2020,NA,NA
Brandon Ingram,RFA,2020,NA,NA
Brandon Knight,UFA,2020,NA,NA
Brian Bowen,RFA,2020,NA,NA
Bruno Caboclo,UFA,2020,NA,NA
Bryn Forbes,UFA,2020,NA,NA
Caleb Swanigan,UFA,2020,NA,NA
Cam Reynolds,RFA,2020,NA,NA
Carmelo Anthony,UFA,2020,NA,NA
Charlie Brown,RFA,2020,NA,NA
Cheick Diallo,CO,2020,NA,NA
Chris Boucher,RFA,2020,NA,NA
Chris Chiozza,RFA,2020,NA,NA
Christian Wood,UFA,2020,NA,NA
Courtney Lee,UFA,2020,NA,NA
D.J. Augustin,UFA,2020,NA,NA
Damian Jones,RFA,2020,NA,NA
Damyean Dotson,RFA,2020,NA,NA
Danilo Gallinari,UFA,2020,NA,NA
DaQuan Jeffries,RFA,2020,NA,NA
Dario Šarić,RFA,2020,NA,NA
David Nwaba,CO,2020,NA,NA
David Nwaba,UFA,2020,NA,NA
Dāvis Bertāns,UFA,2020,NA,NA
De'Aaron Fox,CO,2020,NA,NA
De'Anthony Melton,RFA,2020,NA,NA
Dean Wade,RFA,2020,NA,NA
DeAndre' Bembry,RFA,2020,NA,NA
DeMar DeRozan,PO,2020,NA,27739975
DeMarre Carroll,UFA,2020,NA,NA
Denzel Valentine,RFA,2020,NA,NA
Deonte Burton,CO,2020,NA,NA
Derrick Favors,UFA,2020,NA,NA
Derrick Jones Jr.,UFA,2020,NA,NA
Dewan Hernandez,RFA,2020,NA,NA
Dion Waiters,UFA,2020,NA,NA
Drew Eubanks,RFA,2020,NA,NA
Dwayne Bacon,RFA,2020,NA,NA
Dwight Howard,UFA,2020,NA,NA
E'Twaun Moore,UFA,2020,NA,NA
Emmanuel Mudiay,UFA,2020,NA,NA
Enes Kanter,PO,2020,NA,5005350
Evan Fournier,PO,2020,NA,17000000
Evan Turner,UFA,2020,NA,NA
Frank Jackson,RFA,2020,NA,NA
Frank Kaminsky,CO,2020,NA,NA
Frank Mason III,RFA,2020,NA,NA
Fred VanVleet,UFA,2020,NA,NA
Furkan Korkmaz,UFA,2020,NA,NA
Gabe Vincent,RFA,2020,NA,NA
Garrett Temple,CO,2020,NA,NA
Garrison Mathews,RFA,2020,NA,NA
Gary Clark,RFA,2020,NA,NA
Gary Payton II,UFA,2020,NA,NA
Glenn Robinson III,UFA,2020,NA,NA
Goran Dragić,UFA,2020,NA,NA
Gordon Hayward,PO,2020,NA,34187085
Hamidou Diallo,CO,2020,NA,NA
Harry Giles,UFA,2020,NA,NA
Hassan Whiteside,UFA,2020,NA,NA
Ian Mahinmi,UFA,2020,NA,NA
Isaiah Hicks,RFA,2020,NA,NA
Jabari Parker,PO,2020,NA,6500000
Jae Crowder,UFA,2020,NA,NA
Jahlil Okafor,UFA,2020,NA,NA
JaKarr Sampson,UFA,2020,NA,NA
Jakob Poeltl,RFA,2020,NA,NA
James Ennis,PO,2020,NA,2130023
James Johnson,PO,2020,NA,15827100
JaMychal Green,PO,2020,NA,5005350
Jared Dudley,UFA,2020,NA,NA
Jared Harper,RFA,2020,NA,NA
Jarrell Brantley,RFA,2020,NA,NA
JaVale McGee,PO,2020,NA,4200000
Jaylen Hoard,RFA,2020,NA,NA
Jeff Green,UFA,2020,NA,NA
Jeff Teague,UFA,2020,NA,NA
Jerami Grant,PO,2020,NA,9346153
Jeremiah Martin,RFA,2020,NA,NA
Jevon Carter,RFA,2020,NA,NA
Joe Harris,UFA,2020,NA,NA
John Henson,UFA,2020,NA,NA
John Konchar,RFA,2020,NA,NA
Johnathan Motley,RFA,2020,NA,NA
Jontay Porter,CO,2020,NA,NA
Jontay Porter,RFA,2020,NA,NA
Jordan Bone,RFA,2020,NA,NA
Jordan Clarkson,UFA,2020,NA,NA
Jordan McLaughlin,RFA,2020,NA,NA
