season,cap
2027,167513000
2026,159536000
2025,151939000
2024,144704000
2023,137813000
2022,131250000
2021,125000000
2020,115000000
2019,109140000
2018,101869000
2017,99093000
2016,94143000
2015,70000000
2014,63065000
2013,58679000
2012,58044000
2011,58044000
2010,58044000
2009,57700000
2008,58680000
2007,55630000
2006,53135000
2005,49500000
2004,43870000
2003,43840000
2002,40271000
2001,42500000
2000,35500000
1999,34000000
1998,30000000
1997,26900000
1996,24363000
1995,23000000
1994,15964000
1993,15175000
1992,14000000
1991,12500000
1990,11871000
1989,9802000
1988,7232000
1987,6164000
1986,4945000
1986,4945000
1985,4233000
1984,3600000
